지점,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),최고해면기압 나타난날(yyyymmdd),최저해면기압 나타난날(yyyymmdd),평균수증기압(hPa),최고수증기압(hPa),최저수증기압(hPa),최고수증기압 나타난날(yyyymmdd),최저수증기압 나타난날(yyyymmdd),평균이슬점온도(°C),평균상대습도(%),최소상대습도(%),최소상대습도 나타난날(yyyymmdd),월합강수량(00~24h만)(mm),일최다강수량(mm),1시간최다강수량(mm),10분최다강수량(mm),일최다강수량 나타난날(yyyymmdd),1시간최다강수량 나타난날(yyyymmdd),10분최다강수량 나타난날(yyyymmdd),소형총증발량(mm),소형일최대증발량(mm),대형총증발량(mm),대형일최대증발량(mm),소형일최대증발량 나타난날(yyyymmdd),대형일최대증발량 나타난날(yyyymmdd),평균풍속(m/s),최대풍속(m/s),최대순간풍속(m/s),최대풍속 풍향(16방위),최대순간풍속 풍향(16방위),최대풍속 나타난날(yyyymmdd),최대순간풍속 나타난날(yyyymmdd),평균운량(1/10),평균중하층운량(1/10),합계 일조시간(hr),일조율(%),합계 일사량(MJ/m2),최심적설(cm),최심신적설(cm),3시간신적설합(cm),최심적설 나타난날(yyyymmdd),최심신적설 나타난날(yyyymmdd),평균 최저초상온도(°C),최저초상온도(°C),최저초상온도 나타난날(yyyymmdd),평균지면온도(°C),0.05m평균지중온도(°C),0.1m평균지중온도(°C),0.2m평균지중온도(°C),0.3m평균지중온도(°C),0.5m평균지중온도(°C),1.0m평균지중온도(°C),1.5m평균지중온도(°C),3.0m평균지중온도(°C),5.0m평균지중온도(°C)
99,Jan-21,-5.1,1.5,-11.4,13.4,-21.7,20210125,20210108,1021.9,1025.8,1036.7,1011.7,20210103,20210115,3.1,9.8,0.6,20210115,20210108,-11.2,65,19,20210127,12.9,4.9,,,20210121,,,,,,,,,1.4,9.5,16.4,290,290,20210128,20210128,4,2.8,192.8,62.88,,,,,,,-13.6,-24.5,20210108,-3.2,,,,,,,,,
99,Feb-21,0.5,7.2,-6.1,16.8,-13.7,20210221,20210203,1018.4,1022.3,1031.5,1008,20210227,20210221,4.3,9.9,1.2,20210201,20210217,-6.5,64,15,20210226,10,7.5,,,20210203,,,,,,,,,1.8,7.3,14.4,290,290,20210217,20210215,4.1,2.7,197.1,65.16,,,,,,,-7.6,-15,20210203,1.5,,,,,,,,,
99,Mar-21,6.7,14,0.4,22,-4.7,20210331,20210303,1016.8,1020.5,1032.7,999.7,20210303,20210328,6.9,13,3.6,20210328,20210316,1.3,73,22,20210331,112.4,64.8,,,20210301,,,,,,,,,1.5,6.8,12.9,320,320,20210321,20210321,4.7,3.1,242.6,65.37,,,,,,,-2.1,-7.1,20210309,8.4,,,,,,,,,
99,Apr-21,12.2,19,5.8,26.7,-0.5,20210421,20210414,1015.2,1018.9,1033.1,1000.9,20210411,20210430,8.9,14.4,4.3,20210403,20210408,4.8,65,17,20210401,106.4,48.5,7.8,2.1,20210403,20210403,20210403,,,,,,,1.8,8.8,17.9,320,340,20210417,20210417,4.7,3.3,234.8,59.34,,,,,,,3.4,-2.8,20210414,14.3,,,,,,,,,
99,May-21,15.5,21.9,10.1,29.4,4,20210514,20210506,1005.9,1009.5,1020.9,996.7,20210503,20210528,13.6,23.7,7.1,20210515,20210509,11.1,79,22,20210511,243,100,15,6.6,20210516,20210516,20210516,,,,,,,1.5,7.1,14.2,200,270,20210508,20210509,5.4,3.9,212.8,48.23,,,,,,,9.3,2.5,20210506,18.2,,,,,,,,,
99,Jun-21,21.1,26.7,16.7,30.2,11.5,20210613,20210604,1004.6,1008.1,1017.4,999.7,20210608,20210605,20.8,26.9,13.6,20210614,20210604,18,85,39,20210609,50.4,14.3,6.9,4.3,20210610,20210610,20210603,,,,,,,1.2,6.5,14.1,160,160,20210611,20210611,6.1,3.6,198.9,44.91,,,,,,,16.2,11.5,20210604,25.2,,,,,,,,,
99,Jul-21,26.1,31.4,22,35.1,19.1,20210725,20210703,1004.9,1008.4,1016.9,998.8,20210716,20210730,28.1,34.8,21.3,20210720,20210703,22.9,85,40,20210725,93.6,46.2,11.5,11.2,20210703,20210717,20210717,,,,,,,1.1,5.2,10.1,250,180,20210710,20210710,5.3,2.9,256.6,57.1,,,,,,,21.7,17.7,20210701,30.7,,,,,,,,,
99,Aug-21,24.1,29.3,20.1,33,16.8,20210805,20210819,1005.5,1009,1017.7,995.4,20210830,20210821,24.7,33,16.3,20210801,20210819,20.8,84,39,20210819,183.3,72.5,42.5,11.9,20210821,20210821,20210821,,,,,,,1.3,5.6,11.2,70,70,20210821,20210821,6.8,4.1,180.1,42.72,,,,,,,19.4,15.8,20210819,27.8,,,,,,,,,
99,Sep-21,20.6,26.5,16,29.5,13,20210914,20210924,1010.6,1014.2,1026.5,1003.9,20210925,20210921,19.7,25.8,15.2,20210909,20210924,17.2,83,47,20210914,93.5,47.2,12,3.7,20210921,20210921,20210921,,,,,,,1.6,5,9.9,250,250,20210922,20210922,5.3,3.5,209.4,56.12,,,,,,,14.7,11.5,20210924,22.7,,,,,,,,,
99,Oct-21,13,19.8,7.6,27.3,-2,20211003,20211017,1018.4,1022.1,1032.2,1007.7,20211017,20211001,13.1,27.4,2.9,20211004,20211017,9.5,82,24,20211017,79.4,42.5,20.1,8.5,20211004,20211004,20211004,,,,,,,1.1,5.2,13.7,230,250,20211004,20211004,4.6,3.6,190.5,54.77,263.31,,,,,,5.7,-4.5,20211017,15.1,,,,,,,,,
99,Nov-21,5.5,12.7,-0.5,21.8,-7,20211107,20211127,1016.8,1020.6,1037.5,1005.5,20211128,20211130,7.3,15.5,2.7,20211101,20211123,1.6,79,30,20211125,47.2,23.1,,,20211130,,,18.8,2.4,13,1.7,20211125,20211125,1.1,7.6,15.8,320,290,20211130,20211130,4.4,3.1,176,57.78,266.77,,,,,,-3.6,-10.7,20211127,6,,,,,,,,,
99,Dec-21,-1.9,4.4,-7.6,12.3,-18.7,20211207,20211226,1022.4,1026.3,1038.7,1013.5,20211226,20211202,4.1,10,0.9,20211215,20211225,-7,71,25,20211231,5.8,1.8,,,20211210,,,39.6,2.1,27.8,1.5,20211203,20211203,1.2,8.2,13.9,320,290,20211217,20211217,3.2,2.5,193.1,64.84,250.9,,,,,,-10.1,-19.9,20211226,-0.7,,,,,,,,,
